event_id,year,month,state,event_type,cz_type,deaths_direct,deaths_indirect,injuries_direct,injuries_indirect,damage_property_usd,damage_crops_usd,magnitude,magnitude_type,tor_f_scale,begin_lat,begin_lon,duration_hours,state_population,state_real_gdp_musd
938938,2021,1,Texas,Thunderstorm Wind,C,0,0,0,0,5000.0,0.0,75.0,EG,,33.6,-99.26,0.0,29572672.0,1905512.4
939099,2021,1,Virginia,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,24.0,8660007.0,565790.7
939108,2021,1,New York,Cold/Wind Chill,Z,0,0,0,0,,,,,,,,17.0,19835345.0,1750551.2
939114,2021,1,New York,Cold/Wind Chill,Z,0,0,0,0,,,,,,,,17.0,19835345.0,1750551.2
939127,2021,1,Virginia,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,24.0,8660007.0,565790.7
939188,2021,1,Iowa,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,21.0,3199037.0,202470.6
939191,2021,1,Illinois,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,20.0,12703354.0,857114.6
939192,2021,1,South Dakota,Winter Weather,Z,0,0,0,0,,,,,,,,14.0,896303.0,56015.4
939225,2021,1,South Dakota,Winter Weather,Z,0,0,0,0,,,,,,,,14.0,896303.0,56015.4
939266,2021,1,Minnesota,Winter Weather,Z,0,0,0,0,,,,,,,,14.0,5714055.0,377975.8
939306,2021,1,Missouri,Flash Flood,C,0,0,0,0,0.0,0.0,,,,37.94,-93.22,3.8,6172551.0,331578.0
939307,2021,1,Missouri,Flash Flood,C,0,0,0,0,0.0,0.0,,,,37.04,-92.19,3.77,6172551.0,331578.0
939365,2021,1,Texas,Drought,Z,0,0,0,0,0.0,0.0,,,,,,743.98,29572672.0,1905512.4
939375,2021,1,Texas,Drought,Z,0,0,0,0,0.0,0.0,,,,,,743.98,29572672.0,1905512.4
939381,2021,1,Virginia,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,24.0,8660007.0,565790.7
939382,2021,1,Washington,High Wind,Z,0,0,0,0,,,50.0,MG,,,,7.0,7744316.0,626122.2
939403,2021,1,Texas,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,7.83,29572672.0,1905512.4
939404,2021,1,Texas,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,7.83,29572672.0,1905512.4
939475,2021,1,Virginia,Dense Fog,Z,0,0,0,0,,,,,,,,9.0,8660007.0,565790.7
939686,2021,1,Washington,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,24.0,7744316.0,626122.2
939763,2021,1,Oklahoma,High Wind,Z,0,0,0,0,0.0,0.0,50.0,MG,,,,0.0,3992760.0,194991.2
939770,2021,1,Oklahoma,Drought,Z,0,0,0,0,0.0,0.0,,,,,,743.98,3992760.0,194991.2
